category,question, correct_answer, incorrect_option1, incorrect_option2, incorrect_option3
Ciencia,¿Cuál es el planeta más cercano al Sol?,Mercurio,Venus,Marte,Júpiter
Ciencia,¿Qué gas abunda más en la atmósfera de la Tierra?,Nitrógeno,Oxígeno,Dióxido de carbono,Hidrógeno
Ciencia,¿Cuál es el símbolo químico del oro?,Au,Ag,Fe,Cu
Ciencia,¿Qué órgano del cuerpo humano consume más energía?,El cerebro,El corazón,El hígado,Los pulmones
Ciencia,¿A qué velocidad viaja la luz en el vacío?,300 000 km/s,150 000 km/s,15 000 km/s,3 000 km/s
Ciencia,¿Cuál es el planeta más grande del sistema solar?,Júpiter,Saturno,Neptuno,Urano
Ciencia,¿Qué partícula subatómica tiene carga negativa?,Electrón,Protón,Neutrón,Fotón
Ciencia,¿Cómo se llama el proceso por el cual las plantas fabrican su alimento?,Fotosíntesis,Respiración,Transpiración,Osmosis
Ciencia,¿Cuál es el hueso más largo del cuerpo humano?,Fémur,Tibia,Húmero,Radio
Ciencia,¿Qué tipo de animal es la ballena?,Un mamífero,Un pez,Un reptil,Un anfibio
Ciencia,¿Cuál es el elemento químico más abundante en el universo?,Hidrógeno,Helio,Oxígeno,Carbono
Ciencia,¿Qué estudia la sismología?,Los terremotos,Los volcanes,Los fósiles,Las estrellas
Ciencia,¿Cuál es la unidad básica de la vida?,La célula,El átomo,El tejido,El órgano
Ciencia,¿Qué vitamina produce el cuerpo humano al exponerse al sol?,Vitamina D,Vitamina C,Vitamina A,Vitamina B12
Ciencia,¿A qué temperatura se congela el agua en grados Celsius?,0 °C,32 °C,-10 °C,100 °C
Ciencia,¿Cuál es el centro de un átomo?,El núcleo,La corteza,El electrón,La órbita
Ciencia,¿Qué gas exhalamos los seres humanos al respirar?,Dióxido de carbono,Oxígeno,Nitrógeno,Monóxido de carbono
Ciencia,¿Cómo se le llama al cambio de estado de líquido a gas?,Vaporización,Fusión,Condensación,Solidificación
Ciencia,¿Qué fuerza nos mantiene unidos a la superficie de la Tierra?,Gravedad,Magnetismo,Inercia,Fricción
Ciencia,¿Cuál es el planeta conocido como el planeta rojo?,Marte,Júpiter,Venus,Saturno
Ciencia,¿Cuál es el animal terrestre más rápido del mundo?,Guepardo,León,Gacela,Tigre
Ciencia,¿Qué ciencia estudia los fósiles?,Paleontología,Geología,Arqueología,Biología
Ciencia,¿Cuál es el componente principal del aire que respiramos?,Nitrógeno,Oxígeno,Argón,Dióxido de carbono
Ciencia,¿Qué tipo de sangre es considerada universal?,O negativo,AB positivo,A positivo,B negativo
Ciencia,¿Cuántos huesos tiene el cuerpo humano adulto?,206,180,215,230
Ciencia,¿Qué planeta del sistema solar gira de lado (su eje está inclinado)?,Urano,Saturno,Neptuno,Júpiter
Ciencia,¿Cuál es el animal más grande que ha habitado la Tierra?,Ballena azul,Tiranosaurio Rex,Elefante africano,Megalodón
Ciencia,¿Qué estudia la botánica?,Las plantas,Los insectos,Los hongos,Los peces
Ciencia,¿Cuál es la capa más externa de la Tierra?,La corteza,El manto,El núcleo externo,El núcleo interno
Ciencia,¿Qué instrumento se utiliza para medir la presión atmosférica?,Barómetro,Termómetro,Higrómetro,Anemómetro
Matemáticas,¿Cuánto es la raíz cuadrada de 144?,12,14,10,16
Matemáticas,¿Cuánto es 7 por 8?,56,54,64,48
Matemáticas,¿Cuántos grados suman los ángulos internos de un triángulo?,180°,360°,90°,270°
Matemáticas,¿Cómo se llama un polígono de 7 lados?,Heptágono,Pentágono,Hexágono,Octágono
Matemáticas,¿Cuál es el valor del número Pi (aproximadamente)?,3.1416,2.718,1.414,1.732
Matemáticas,¿Cuál es el resultado de 9 al cuadrado (9²)?,81,18,72,64
Matemáticas,¿Qué nombre recibe el lado opuesto al ángulo recto en un triángulo rectángulo?,Hipotenusa,Cateto opuesto,Cateto adyacente,Vértice
Matemáticas,¿Cuál es el número primo más pequeño?,2,1,3,5
Matemáticas,¿Cómo se le llama a un triángulo que tiene sus tres lados iguales?,Equilátero,Isósceles,Escaleno,Rectángulo
Matemáticas,¿Cuánto es la mitad de un cuarto (1/2 de 1/4)?,1/8,1/6,1/2,1/16
Matemáticas,¿Qué fracción es equivalente a 0.5?,1/2,1/4,3/4,1/3
Matemáticas,Si un artículo cuesta 100 y tiene un descuento del 20%, ¿cuánto cuesta?,80,20,90,75
Matemáticas,¿Cómo se llama la línea que divide a un círculo en dos partes iguales pasando por el centro?,Diámetro,Radio,Cuerda,Tangente
Matemáticas,¿Cuál es el resultado de la operación 5 + 3 x 2?,11,16,13,10
Matemáticas,¿Qué es un número que solo es divisible por sí mismo y por 1?,Número primo,Número par,Número compuesto,Número entero
Matemáticas,¿Cuántos lados tiene un dodecágono?,12,10,14,15
Matemáticas,¿Cuál es el resultado de dividir 100 entre 0.25?,400,25,50,200
Matemáticas,¿Cómo se le llama al resultado de una multiplicación?,Producto,Cociente,Suma,Diferencia
Matemáticas,¿Cuántos mililitros hay en un litro?,1000,100,10,10000
Matemáticas,¿Qué teorema relaciona los tres lados de un triángulo rectángulo?,Teorema de Pitágoras,Teorema de Tales,Teorema de Euclides,Teorema del binomio
Matemáticas,¿Cómo se llaman dos ángulos cuya suma es 90 grados?,Complementarios,Suplementarios,Adyacentes,Opuestos
Matemáticas,¿Cuál es el resultado de 2 elevado a la 5 potencia (2⁵)?,32,16,64,10
Matemáticas,¿Qué número romano representa al 500?,D,C,M,L
Matemáticas,¿Cómo se le llama a un número que no se puede expresar como fracción simple?,Irracional,Racional,Entero,Natural
Matemáticas,¿Cuál es el perímetro de un cuadrado de 5 cm de lado?,20 cm,25 cm,10 cm,15 cm
Matemáticas,¿Cuántos grados tiene un ángulo completo?,360°,180°,90°,270°
Matemáticas,¿Cuál es el siguiente número en la secuencia: 2, 3, 5, 7, 11...?,13,15,17,12
Matemáticas,¿Cómo se denomina a una matriz que tiene el mismo número de filas que de columnas?,Matriz cuadrada,Matriz identidad,Matriz nula,Matriz diagonal
Matemáticas,¿Cuánto es el 15 por ciento de 200?,30,15,20,45
Matemáticas,¿Cuál es el área de un triángulo con base 10 y altura 5?,25,50,10,15
Historia,¿En qué año cayó el Muro de Berlín?,1989,1991,1985,1990
Historia,¿En qué año comenzó la Primera Guerra Mundial?,1914,1939,1918,1945
Historia,¿Qué civilización construyó la ciudad de Machu Picchu?,Los Incas,Los Mayas,Los Aztecas,Los Olmecas
Historia,¿Quién fue el primer presidente de los Estados Unidos?,George Washington,Abraham Lincoln,Thomas Jefferson,Benjamin Franklin
Historia,¿En qué año llegó Cristóbal Colón a América?,1492,1500,1482,1512
Historia,¿Cuál fue el imperio que construyó el Coliseo Romano?,Imperio Romano,Imperio Griego,Imperio Persa,Imperio Otomano
Historia,¿Qué país regaló la Estatua de la Libertad a Estados Unidos?,Francia,Inglaterra,España,Italia
Historia,¿Quién pintó la Capilla Sixtina?,Miguel Ángel,Leonardo da Vinci,Rafael,Donatello
Historia,¿En qué siglo comenzó la Revolución Francesa?,Siglo XVIII (18),Siglo XVII (17),Siglo XIX (19),Siglo XVI (16)
Historia,¿Quién escribió la obra cumbre 'Don Quijote de la Mancha'?,Miguel de Cervantes,Lope de Vega,Francisco de Quevedo,Calderón de la Barca
Historia,¿Qué muro histórico se construyó principalmente para defenderse de los xiongnu?,La Gran Muralla China,Muro de Adriano,Muro de Berlín,Murallas de Constantinopla
Historia,¿En qué año finalizó la Segunda Guerra Mundial?,1945,1939,1950,1918
Historia,¿Quién fue la primera mujer en ganar un Premio Nobel?,Marie Curie,Rosalind Franklin,Ada Lovelace,Jane Addams
Historia,¿Qué país actual ocupaba el centro del Imperio Persa?,Irán,Irak,Egipto,Grecia
Historia,¿Cuál fue la capital del Imperio Inca?,Cuzco,Lima,Quito,Bogotá
Historia,¿Qué evento desató el estallido de la Revolución Rusa en 1917?,La Revolución de Octubre,La caída del Zar Nicolás II,El Domingo Sangriento,La guerra con Japón
Historia,¿En qué año el hombre pisó la Luna por primera vez?,1969,1965,1971,1973
Historia,¿Quién descubrió la penicilina?,Alexander Fleming,Louis Pasteur,Albert Einstein,Isaac Newton
Historia,¿Qué cultura mesoamericana desarrolló un calendario sumamente preciso?,Los Mayas,Los Aztecas,Los Toltecas,Los Zapotecas
Historia,¿Qué país europeo lideró la era de las exploraciones marítimas en el siglo XV?,Portugal,España,Inglaterra,Holanda
Historia,¿Quién fue el líder del movimiento de independencia en la India basado en la no violencia?,Mahatma Gandhi,Jawaharlal Nehru,Subhas Chandra Bose,Indira Gandhi
Historia,¿En qué año se firmó la Declaración de Independencia de los Estados Unidos?,1776,1789,1810,1750
Historia,¿Qué civilización antigua inventó la escritura cuneiforme?,Los sumerios,Los egipcios,Los fenicios,Los chinos
Historia,¿Quién fue el último emperador de Rusia antes de la revolución de 1917?,Nicolás II,Alejandro III,Pedro el Grande,Iván el Terrible
Historia,¿En qué isla francesa nació Napoleón Bonaparte?,Córcega,Cerdeña,Sicilia,Ibiza
Historia,¿Qué guerra enfrentó a las trece colonias americanas contra Gran Bretaña?,Guerra de Independencia de Estados Unidos,Guerra de Secesión,Guerra de los Siete Años,Guerra hispano-estadounidense
Historia,¿Quién fue el faraón egipcio cuya tumba intacta fue descubierta en 1922?,Tutankamón,Ramsés II,Akenatón,Keops
Historia,¿Qué país fue el principal rival de Estados Unidos durante la Guerra Fría?,La Unión Soviética,Alemania,China,Japón
Historia,¿En qué año se produjo la Revolución Mexicana?,1910,1920,1810,1917
Historia,¿Qué vía marítima artificial une el mar Mediterráneo con el mar Rojo?,Canal de Suez,Canal de Panamá,Canal de Kiel,Canal de Corinto
Arte,¿Quién pintó 'La noche estrellada'?,Vincent van Gogh,Claude Monet,Pablo Picasso,Salvador Dalí
Arte,¿Quién esculpió la famosa estatua de 'El David'?,Miguel Ángel,Leonardo da Vinci,Donatello,Bernini
Arte,¿En qué museo se encuentra la famosa pintura de la Mona Lisa?,Museo del Louvre,El Prado,The Metropolitan Museum of Art,British Museum
Arte,¿Qué movimiento artístico lideró Pablo Picasso junto a Georges Braque?,Cubismo,Surrealismo,Impresionismo,Barroco
Arte,¿Cuál es el estilo arquitectónico de la catedral de Notre Dame en París?,Gótico,Románico,Renacentista,Neoclásico
Arte,¿Quién compuso la famosa 'Novena Sinfonía'?,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Johann Sebastian Bach,Frédéric Chopin
Arte,¿De qué nacionalidad era el pintor Salvador Dalí?,Española,Mexicana,Francesa,Italiana
Arte,¿Qué técnica artística consiste en pintar sobre yeso fresco en una pared?,Fresco,Óleo,Acuarela,Pastel
Arte,¿Quién pintó el famoso cuadro 'Guernica'?,Pablo Picasso,Salvador Dalí,Joan Miró,Diego Rivera
Arte,¿Qué artista es conocido por cortar parte de su propia oreja izquierda?,Vincent van Gogh,Paul Gauguin,Claude Monet,Edgar Degas
Arte,¿Quién pintó 'La última cena'?,Leonardo da Vinci,Michelangelo,Rafael,Caravaggio
Arte,¿Cuál es el instrumento principal en una obra flamenca junto al cante?,La guitarra,El violín,El piano,La flauta
Arte,¿Qué arquitecto diseñó la Sagrada Familia en Barcelona?,Antoni Gaudí,Santiago Calatrava,Frank Gehry,Norman Foster
Arte,¿En qué país nació el pintor Pablo Picasso?,España,Francia,Italia,México
Arte,¿Qué movimiento pictórico buscaba representar la luz y los efectos visuales instantáneos?,Impresionismo,Expresionismo,Dadaísmo,Realismo
Arte,¿Quién escribió la obra de teatro 'Romeo y Julieta'?,William Shakespeare,Oscar Wilde,Molière,Federico García Lorca
Arte,¿Cómo se llama la técnica de escultura sobre una superficie donde las figuras sobresalen poco del plano?,Bajorrelieve,Altorrelieve,Busto,Mural
Arte,¿Qué compositor clásico se quedó totalmente sordo en su madurez y siguió componiendo?,Ludwig van Beethoven,Antonio Vivaldi,Johann Sebastian Bach,Johannes Brahms
Arte,¿Cuál es la obra maestra del escultor Auguste Rodin?,El pensador,El David,La piedad,El rapto de Proserpina
Arte,¿Qué museo alberga la escultura de la 'Venus de Milo'?,Museo del Louvre,Museo Británico,Galleria degli Uffizi,Museo del Prado
Deportes,¿En qué país se inventó el voleibol?,Estados Unidos,Inglaterra,Brasil,Francia
Deportes,¿Cada cuántos años se celebran los Juegos Olímpicos modernos?,4 años,2 años,5 años,3 años
Deportes,¿En qué deporte se utiliza el término 'Knockout' (KO)?,Boxeo,Tenis,Fútbol americano,Béisbol
Deportes,¿Cuántos jugadores componen un equipo de baloncesto en la cancha por bando?,5,6,7,4
Deportes,¿Qué país ganó la Copa Mundial de Fútbol de la FIFA en 1986?,Argentina,Alemania,Brasil,Italia
Deportes,¿Cómo se llama la máxima competición de ciclismo por etapas en Francia?,Tour de Francia,Giro de Italia,Vuelta a España,París-Roubaix
Deportes,¿En qué deporte destaca la figura de Roger Federer?,Tenis,Golf,Natación,Fórmula 1
Deportes,¿Cuántos hoyos se juegan en un recorrido estándar de golf?,18,9,12,20
Deportes,¿Qué selección nacional de rugby es conocida como 'Los All Blacks'?,Nueva Zelanda,Australia,Sudáfrica,Inglaterra
Deportes,¿En qué disciplina deportiva compiten los atletas por la 'Copa América' en vela?,Vela,Fútbol,Polo,Remo
Deportes,¿En qué deporte se otorga el trofeo Vince Lombardi?,Fútbol americano,Béisbol,Hockey sobre hielo,Baloncesto
Deportes,¿Cuántos jugadores hay en un equipo de fútbol en el campo?,11,9,10,12
Deportes,¿Qué país organizó los Juegos Olímpicos de Verano en 2008?,China,Reino Unido,Grecia,Brasil
Deportes,¿En qué superficie se juega el torneo de tenis Roland Garros?,Tierra batida,Césped,Pista dura,Alfombra
Deportes,¿Cómo se llama el punto decisivo que define un partido de tenis cuando hay empate?,Match point (Punto de partido),Tie-break,Deuce,Ace
Deportes,¿Qué arte marcial de origen japonés significa 'camino de la mano vacía'?,Karate,Judo,Aikido,Sumo
Deportes,¿En qué deporte se utiliza una escoba y una piedra sobre hielo?,Curling,Hockey sobre hielo,Biatlón,Patinaje artístico
Deportes,¿Cuántos anillos forman el símbolo olímpico?,5,4,6,7
Deportes,¿Qué piloto de Fórmula 1 ostenta el récord compartido de 7 campeonatos mundiales junto a Michael Schumacher?,Lewis Hamilton,Max Verstappen,Ayrton Senna,Fernando Alonso
Deportes,¿En qué país se originó el juego del polo acuático (waterpolo)?,Reino Unido,Hungría,Estados Unidos,Australia
Tecnología,¿Quién es considerado el padre de la computación?,Alan Turing,Bill Gates,Steve Jobs,Charles Babbage
Tecnología,¿Qué significa la sigla 'URL' en la web?,Uniform Resource Locator,Universal Radio Link,United Remote Line,Unified Read Language
Tecnología,¿En qué año se fundó la empresa Google?,1998,2004,1990,2001
Tecnología,¿Qué lenguaje de programación lleva el nombre de una serpiente?,Python,Java,C++,Ruby
Tecnología,¿Quién fundó la empresa Microsoft junto a Paul Allen?,Bill Gates,Steve Wozniak,Mark Zuckerberg,Jeff Bezos
Tecnología,¿Qué significa la sigla 'RAM' en informática?,Random Access Memory,Read Access Machine,Run Active Module,Rapid Application Maker
Tecnología,¿Cuál fue el primer navegador web gráfico popular de la historia?,Mosaic,Netscape Navigator,Internet Explorer,Google Chrome
Tecnología,¿Qué compañía creó el sistema operativo móvil Android?,Google,Apple,Microsoft,Samsung
Tecnología,¿Qué significan las siglas 'AI' o 'IA' en el ámbito tecnológico?,Inteligencia Artificial,Automatización Industrial,Interfaz Avanzada,Ingeniería de Algoritmos
Tecnología,¿En qué año se lanzó al público la red social Facebook?,2004,2006,2000,2008
Tecnología,¿Qué dispositivo se utiliza comúnmente para conectar varias redes informáticas entre sí?,Router (Enrutador),Switch,Módem,Hub
Tecnología,¿Qué protocolo seguro se utiliza para la transferencia segura de datos en la web (el candadito)?,HTTPS,FTP,SMTP,SSH
Tecnología,¿Quién es el principal cofundador de la empresa Apple junto a Steve Wozniak?,Steve Jobs,Bill Gates,Elon Musk,Mark Zuckerberg
Tecnología,¿Qué significa la extensión '.com' en un sitio web?,Comercial,Comunidad,Computación,Comunicación
Tecnología,¿Cuál fue la primera red de computadoras de la historia precursora de internet?,ARPANET,NSFNET,MILNET,Ethernet
Tecnología,¿Qué lenguaje se usa principalmente para dar estilo y diseño a las páginas web?,CSS,HTML,SQL,Python
Tecnología,¿Qué compañía tecnológica desarrolló el procesador gráfico GeForce?,Nvidia,Intel,AMD,Qualcomm
Tecnología,¿Qué unidad de medida informática es superior a un gigabyte (GB)?,Terabyte (TB),Megabyte (MB),Kilobyte (KB),Bit
Tecnología,¿Qué significa la sigla 'USB'?,Universal Serial Bus,United System Board,Ultra Speed Bridge,Unidirectional Signal Binary
Tecnología,¿En qué año se envió el primer mensaje de correo electrónico de la historia?,1971,1981,1965,1990
